Monthly Income,Utilities,Food,Transportation,Healthcare,Personal Care,Education,Entertainment,Savings,Others
9270,3073.36,2700.9,1276.04,487.63,642.27,1061.91,594.51,677.7,401.69
9603,3099.68,2722.73,962.45,598.19,610.85,1057.16,489.05,465.94,432.4
2860,926.93,842.9,329.89,156.17,187.1,392.86,199.8,208.65,117.29
7390,2497.0,1868.63,925.21,440.34,493.03,873.08,470.31,445.96,331.03
7226,2269.66,2022.18,858.82,368.69,456.53,928.31,501.34,371.97,305.12
7191,2271.65,2002.35,829.65,457.44,407.05,791.05,455.65,303.74,348.07
5772,1998.45,1453.3,816.98,351.09,306.65,754.31,316.57,351.27,272.08
5092,1541.91,1403.74,747.21,320.53,278.76,562.16,348.94,282.14,237.46
7734,2507.99,2169.2,1111.26,429.3,516.7,837.93,483.63,439.69,369.78
8265,2856.71,2145.3,1042.39,459.3,528.31,986.23,508.45,363.58,354.88
2466,815.06,650.2,355.62,162.82,145.78,344.01,144.46,158.71,109.83
7334,2400.57,2068.32,1071.08,472.1,371.01,798.14,408.44,182.47,299.71
6426,2008.04,1756.97,774.09,395.81,355.51,680.2,389.42,408.5,261.4
7578,2403.47,2219.6,865.2,474.1,489.37,769.79,434.38,483.82,328.06
8231,2819.96,2198.66,863.54,427.03,495.9,994.29,552.14,419.42,396.96
5444,1785.42,1433.58,674.81,365.42,319.62,621.17,275.34,194.88,250.3
5171,1684.39,1547.39,761.77,338.17,290.99,592.62,313.37,264.53,228.79
4919,1500.19,1453.84,629.86,304.04,305.66,733.41,328.25,134.71,244.33
9831,2957.18,2472.0,1311.24,672.16,681.56,1078.52,496.98,364.81,436.71
2130,741.63,614.58,225.02,113.68,144.89,261.82,118.53,96.44,95.19
3685,1174.96,941.58,394.94,234.86,186.5,550.24,188.05,222.55,183.97
9476,3128.6,2382.02,1167.67,656.3,564.95,962.11,586.57,295.96,391.49
2769,841.74,730.14,408.6,155.62,156.7,373.35,155.99,81.66,117.84
4391,1467.28,1156.88,518.31,220.89,264.39,520.57,303.83,247.95,195.54
7611,2638.19,2214.54,1095.03,492.41,472.83,1105.92,474.36,462.54,347.92
9581,3150.07,2735.7,1015.72,480.39,517.38,1394.97,586.7,239.71,397.43
8949,2741.13,2676.47,1170.98,603.62,587.34,1068.16,611.62,196.79,387.39
4433,1458.84,1265.96,576.43,226.64,263.77,492.39,241.47,127.8,187.08
7311,2473.44,1980.64,1045.43,461.0,510.6,887.56,447.76,541.46,354.58
7051,2258.58,2009.16,706.27,405.74,356.09,1045.42,429.09,425.59,340.89
8420,2896.41,2525.77,921.96,455.24,452.95,960.47,434.83,633.7,356.99
3184,1058.47,909.05,353.37,216.4,203.12,474.63,218.55,190.67,141.21
6555,2261.23,1888.39,966.85,425.58,418.89,924.06,419.55,510.73,304.92
5385,1783.38,1598.9,579.88,305.92,331.95,610.51,364.9,249.51,217.99
6117,1875.25,1564.01,623.0,340.61,424.76,853.65,426.05,342.22,298.73
8396,2648.81,2394.87,1063.97,543.39,489.54,860.51,500.34,470.77,378.75
6843,2121.94,2001.85,865.15,456.64,399.23,871.82,452.14,138.15,289.22
4904,1694.04,1460.01,697.36,315.41,334.5,578.02,301.85,106.16,215.62
9728,3288.26,2534.62,1434.33,610.92,591.16,1180.46,676.51,279.35,476.83
2474,825.87,680.84,314.02,134.98,141.2,305.89,135.93,125.35,99.57
3082,970.98,875.37,451.51,206.67,198.42,385.67,154.95,141.25,127.68
4558,1409.34,1195.9,621.06,296.24,284.39,605.4,244.85,238.77,191.11
9849,3327.21,2757.95,1115.18,594.34,552.81,1328.03,517.67,670.02,399.88
4047,1310.05,1063.87,592.57,243.76,226.46,602.13,237.72,280.6,171.0
9643,3001.76,2571.53,1286.11,591.92,558.45,1332.07,497.08,758.14,464.52
4747,1570.46,1291.54,572.99,315.99,244.15,637.95,258.26,253.74,214.9
2975,898.5,822.47,398.69,192.91,204.84,355.88,154.48,121.48,137.01
3806,1203.87,1037.01,456.97,255.48,204.23,403.02,227.35,146.46,158.17
2189,707.98,601.23,231.4,131.66,117.94,225.33,121.13,88.53,93.65
9101,2797.63,2411.12,1237.27,568.75,572.82,1127.47,540.78,358.85,447.54
4734,1653.27,1221.13,668.46,317.61,305.27,631.58,245.12,206.28,199.32
5005,1553.83,1263.1,682.88,273.51,324.01,663.2,301.99,122.59,245.58
6658,2040.79,1729.74,742.07,392.03,382.84,983.01,350.22,386.2,310.48
3899,1209.38,1088.2,576.4,243.35,263.05,464.45,202.7,210.87,175.56
9734,3294.5,2816.1,985.69,664.86,592.61,1278.94,547.05,464.48,406.29
3267,1049.61,844.4,381.04,164.38,192.01,471.73,220.48,81.24,152.69
8975,2946.23,2292.46,1014.22,486.91,594.21,1078.83,590.29,229.69,438.55
3528,1062.11,1014.17,361.29,192.94,193.59,437.07,244.08,185.95,146.76
5202,1569.56,1379.87,625.73,294.08,349.59,760.27,307.98,115.46,208.4
5556,1790.65,1653.33,728.7,309.11,337.67,708.46,312.52,352.74,263.36
5890,2007.5,1682.87,848.91,364.02,400.53,824.49,408.87,469.0,270.97
2646,910.92,704.73,395.54,179.17,142.97,388.38,152.5,147.76,119.15
8164,2484.59,2159.19,1146.26,512.21,561.04,1049.51,409.69,517.65,363.79
4888,1597.98,1349.99,603.35,268.01,311.65,515.49,324.57,226.49,219.84
8310,2872.45,2110.38,1131.7,559.06,518.27,1172.42,443.62,498.97,363.53
7393,2361.31,1891.75,1051.15,463.1,432.06,1041.59,475.8,436.98,301.81
4435,1514.46,1147.75,546.68,241.17,306.58,469.0,223.09,307.99,211.8
2600,797.38,750.71,362.06,148.81,153.08,331.26,135.77,162.97,116.16
4363,1512.96,1202.85,541.59,287.08,261.65,542.56,260.35,283.35,210.51
4061,1370.88,1017.4,484.58,263.07,266.52,578.12,208.56,216.85,202.33
2241,777.78,635.72,283.05,137.89,124.82,254.87,151.88,109.97,93.49
4041,1349.01,1095.86,540.66,213.75,225.61,490.23,262.65,192.04,193.7
4824,1534.85,1329.22,657.72,318.7,316.0,628.28,272.86,209.94,240.12
9513,3300.15,2480.09,1120.98,534.16,500.11,1197.33,589.33,342.1,449.44
4612,1447.15,1280.24,592.95,301.77,306.51,681.43,296.6,101.46,195.82
9041,2862.46,2702.88,1315.41,569.14,565.09,1338.37,588.64,544.86,442.69
3363,1126.74,853.1,500.47,185.92,204.41,350.02,194.76,249.06,161.2
8235,2785.62,2175.65,917.07,446.73,449.48,946.14,559.78,624.45,366.4
7486,2593.68,1962.45,820.78,393.9,492.04,751.42,515.3,410.49,342.3
9099,2822.87,2387.83,1217.76,498.98,601.44,1100.01,490.57,233.37,429.65
3478,1182.17,935.36,419.91,184.88,207.49,462.95,237.29,252.92,143.45
9595,3232.82,2791.24,971.12,598.16,554.43,1185.6,616.51,622.38,472.74
4556,1381.33,1346.95,534.62,282.36,250.23,470.9,308.73,159.85,227.23
2775,886.23,721.81,389.44,171.28,180.61,304.69,162.32,189.29,120.17
6014,1889.23,1666.77,841.19,377.91,377.61,653.51,380.23,290.6,283.57
2034,641.17,573.27,253.71,134.85,110.11,255.38,111.28,149.0,89.93
8349,2915.03,2305.09,1032.18,570.0,550.11,1117.8,542.87,291.02,336.28
5152,1711.18,1399.82,664.48,281.34,348.5,596.69,317.54,350.62,255.47
3955,1328.42,1026.71,438.89,244.24,202.44,421.3,235.79,248.04,163.83
3585,1250.56,983.76,452.79,184.87,234.63,501.65,228.92,74.81,146.09
5943,1894.99,1604.97,597.58,311.43,398.51,849.36,362.8,319.73,287.47
9555,3249.58,2768.83,1182.7,602.79,667.23,1087.59,624.01,601.32,385.44
5073,1632.12,1461.94,592.54,303.02,277.76,614.02,340.75,149.07,237.82
3021,1037.64,775.49,404.04,196.87,173.47,314.48,199.42,156.83,148.94
5461,1687.63,1389.42,720.4,319.54,378.58,608.27,306.64,208.85,240.62
4613,1602.48,1362.72,549.14,242.42,239.32,638.21,320.71,284.97,187.67
7225,2246.53,1999.7,725.13,487.26,436.93,854.43,455.14,378.65,304.77
5843,1848.21,1711.36,658.0,301.84,351.37,760.96,329.95,334.73,289.13
9989,3374.38,2526.29,1315.23,537.2,620.63,1471.47,507.96,243.26,446.05
3500,1118.91,967.14,362.67,194.39,198.16,476.64,244.17,98.94,158.95
6798,2246.13,1882.85,716.39,475.22,465.79,833.93,421.34,361.15,282.53
8545,2753.44,2503.98,1130.95,498.49,473.4,1011.25,466.14,263.79,420.24
8873,2991.25,2261.55,1222.6,532.68,558.94,971.83,530.8,442.95,400.8
7675,2390.12,2011.02,890.89,501.9,459.87,1057.67,444.77,471.26,347.59
2161,654.62,584.18,269.01,135.56,119.58,228.25,149.17,148.21,98.89
6297,1983.53,1846.86,927.46,420.82,338.63,649.03,376.9,179.97,300.2
3981,1288.71,1182.13,586.31,237.78,275.21,418.97,237.64,256.83,167.32
2995,923.66,897.41,345.55,207.98,183.37,335.88,197.35,125.16,148.02
8413,2673.15,2506.73,1182.02,554.72,522.31,1105.1,486.42,510.97,351.28
6911,2211.51,1729.8,896.34,401.03,453.76,988.73,372.71,198.46,290.08
5342,1617.93,1348.24,794.75,307.84,275.78,799.33,349.2,271.96,214.34
6551,2156.36,1686.1,811.54,449.33,421.07,894.7,446.79,460.23,263.33
9629,3314.47,2575.21,1335.88,613.25,513.25,1033.18,490.26,254.07,426.45
5798,1783.39,1690.09,802.48,361.96,375.77,660.31,389.61,403.89,242.53
3275,1080.39,964.92,408.95,213.39,173.01,349.11,192.43,154.47,137.94
3016,1005.04,782.17,421.58,184.63,201.02,319.03,168.24,209.3,150.44
9869,3167.62,2773.02,1115.71,524.87,627.87,1267.05,501.18,764.88,486.47
8439,2827.53,2496.83,895.48,475.83,487.08,1226.49,456.64,249.62,364.77
9892,3170.75,2702.36,1199.49,604.98,565.59,1327.67,560.45,598.21,429.63
8863,2882.53,2261.64,1304.47,446.37,469.55,1241.11,455.68,302.28,380.41
9916,2978.45,2705.98,1239.87,582.54,675.09,1243.51,533.24,278.97,484.12
2337,781.93,628.16,307.93,152.18,122.39,289.24,151.29,134.81,95.78
2878,958.57,802.62,377.62,153.35,171.07,422.7,183.44,76.21,131.93
3076,928.71,836.47,327.99,157.77,168.35,418.64,201.16,147.37,128.77
6887,2192.91,1727.72,823.1,459.5,481.58,846.87,367.11,400.53,327.69
5993,2091.27,1796.1,811.13,373.64,369.87,698.96,304.81,299.52,277.56
8360,2683.87,2317.2,1242.29,447.52,443.01,874.93,496.35,516.85,366.82
6859,2229.84,1877.18,743.52,453.56,434.53,967.46,389.97,466.99,281.09
8331,2878.33,2480.4,1004.07,526.21,581.77,903.63,545.97,602.62,397.17
2379,799.02,613.29,249.21,134.85,147.74,299.16,144.59,127.5,96.99
2492,820.13,646.58,279.4,143.35,147.4,328.6,171.01,91.2,106.5
9208,3129.71,2674.01,1094.26,489.11,514.41,1263.37,471.67,465.74,391.68
7276,2497.26,1913.89,924.29,485.35,377.21,757.92,416.72,314.77,333.13
4062,1311.39,1177.82,453.03,244.45,221.64,408.37,236.02,136.3,183.35
5884,1904.98,1550.89,655.35,359.75,359.35,796.11,309.01,304.46,251.82
2064,659.04,519.42,286.67,139.67,134.32,253.29,127.27,44.09,91.44
4568,1591.2,1260.09,676.67,229.85,308.61,498.17,232.07,257.33,202.65
7463,2499.05,1939.14,867.06,383.14,491.62,1112.74,479.53,517.16,341.32
7248,2204.56,2086.64,974.13,385.82,380.59,1011.59,367.83,579.59,355.02
4027,1381.86,1135.86,454.66,203.77,263.64,519.18,271.7,303.24,166.8
4695,1521.31,1390.57,687.34,296.55,289.36,634.32,240.86,119.2,213.98
3495,1060.51,1010.58,467.09,219.06,207.54,376.59,206.65,103.96,140.44
9230,3022.69,2390.93,1293.44,500.41,567.23,1367.07,490.18,261.38,433.65
7258,2328.79,2104.88,743.71,384.59,364.07,1087.38,382.22,388.31,336.8
7618,2619.73,2148.94,989.77,403.1,391.22,1008.79,490.78,173.36,357.59
8736,2709.9,2476.2,1104.06,603.35,528.68,1165.52,572.08,665.85,390.93
2391,816.1,697.25,274.13,152.71,127.85,323.32,154.9,56.69,100.11
7794,2555.53,2172.12,881.67,480.96,474.74,1038.86,452.67,338.84,346.68
6514,1971.99,1780.28,840.31,367.71,371.85,794.23,454.78,479.68,262.1
8432,2939.33,2376.41,1141.05,494.63,574.63,1071.15,478.93,648.44,369.44
6474,2108.13,1714.95,658.14,335.28,446.67,738.92,355.46,310.22,313.25
7892,2482.38,2045.05,1013.1,552.15,549.25,965.53,551.89,389.12,342.4
5561,1798.82,1561.69,603.5,362.03,378.03,677.36,386.74,323.49,255.35
4278,1466.9,1119.52,457.82,267.07,298.25,489.43,264.54,190.19,182.29
9161,2887.96,2326.86,1201.52,565.74,587.43,1276.45,496.35,361.67,378.74
8184,2534.04,2046.23,945.61,491.75,566.42,986.04,448.24,526.77,369.99
5099,1562.61,1429.84,622.3,281.2,320.4,650.56,308.07,284.12,205.78
8278,2606.68,2219.39,976.8,451.38,547.87,892.41,542.39,404.8,405.99
2200,745.81,632.75,291.32,134.18,115.8,272.25,113.41,57.3,105.1
7959,2575.38,2139.05,982.98,409.12,506.61,1098.92,507.41,192.06,397.78
6875,2140.7,1885.81,1018.69,353.99,471.78,840.31,357.93,348.21,343.28
9073,2797.29,2452.92,1067.16,555.42,551.65,1160.32,606.82,518.67,429.06
5104,1616.11,1442.03,699.32,349.09,274.27,689.48,309.52,303.44,243.8
9215,3197.57,2467.84,1040.05,629.25,557.86,1100.72,643.15,679.08,417.26
6598,2092.56,1967.45,827.64,331.33,423.19,776.35,429.26,455.09,278.34
4454,1556.26,1321.98,568.46,232.27,291.27,464.49,266.99,126.7,214.17
5645,1830.46,1650.61,657.39,348.08,341.38,728.85,298.19,381.97,241.02
7847,2424.39,2322.83,969.8,525.51,426.46,1062.08,477.47,475.36,364.88
2804,966.14,763.97,319.55,193.73,192.17,361.89,146.62,195.39,132.65
8242,2662.31,2281.56,826.67,553.96,539.62,941.04,561.31,581.9,376.19
4731,1587.17,1358.29,524.11,300.67,262.16,535.16,258.32,192.7,220.59
7991,2790.34,2275.9,1078.81,431.6,529.29,862.82,537.85,286.05,343.05
4773,1443.87,1405.81,661.29,245.58,271.86,488.51,267.66,253.72,227.22
3570,1088.26,1020.37,407.02,181.89,200.81,433.2,194.34,135.36,176.48
7056,2370.98,2116.05,849.56,439.18,474.6,762.23,395.73,289.16,316.39
9906,3111.39,2649.11,1009.11,502.47,668.31,1332.75,635.48,239.23,408.22
8756,2707.49,2553.69,979.39,567.26,507.58,1296.65,529.78,695.94,404.5
7581,2289.22,2159.69,1053.46,487.07,380.4,785.95,395.34,292.31,329.12
4690,1412.12,1334.63,611.1,241.97,252.0,678.4,247.36,313.31,207.26
5840,1978.15,1555.14,644.08,397.89,398.21,776.05,336.21,464.8,242.45
3028,928.75,875.94,341.78,183.01,205.83,433.05,171.9,236.63,140.07
9385,3034.98,2768.75,1321.78,639.01,554.34,1011.21,629.12,544.64,449.28
2502,826.4,652.84,276.36,170.22,140.32,363.6,153.74,130.9,119.26
